T,CX 120530 (Condenser He4),T,CX 120536 (EV 4),T,CX 120560 (IC),T,CX 120258 (UC)
4.235,321.65,1.093,987.59,0.313,5347,0.271,1708.2
4.235,321.65,1.093,987.55,0.313,5346.4,0.271,1708.4
4.235,321.65,1.093,987.52,0.313,5349.9,0.271,1708.5
4.235,321.64,1.093,987.58,0.313,5349.2,0.271,1707
4.235,321.65,1.093,987.55,0.313,5348.8,0.271,1708.6
4.235,321.64,1.093,987.44,0.313,5350,0.271,1712.4
4.235,321.65,1.093,988.11,0.313,5347.7,0.271,1711.2
4.235,321.64,1.093,988.1,0.313,5348.5,0.271,1713.9
4.235,321.64,1.093,988.11,0.313,5349.4,0.271,1715.8
4.235,321.64,1.093,988.07,0.313,5346.9,0.271,1710.8
4.235,321.64,1.093,988.07,0.313,5347.6,0.271,1712.7
4.235,321.64,1.093,988.09,0.313,5348.3,0.271,1716.8
4.235,321.64,1.093,988.13,0.313,5347.2,0.271,1713.7
4.235,321.64,1.093,988.13,0.313,5349,0.271,1713.6
4.235,321.64,1.093,988.14,0.313,5349,0.271,1713.9
4.235,321.64,1.093,988.1,0.313,5347.1,0.271,1713.4
4.235,321.63,1.093,988.12,0.313,5353.6,0.271,1713.4
4.235,321.64,1.093,988.13,0.313,5353.6,0.271,1713
4.235,321.64,1.093,988.03,0.313,5354,0.271,1712.9
4.235,321.64,1.093,987.79,0.313,5353.2,0.271,1710.1
4.235,321.64,1.093,987.82,0.313,5353.3,0.271,1709.7
4.235,321.64,1.093,987.85,0.313,5354.4,0.271,1709.9
4.235,321.64,1.093,987.74,0.313,5353.6,0.271,1708.1
4.235,321.64,1.093,987.75,0.313,5348.1,0.271,1707.1
4.235,321.63,1.093,987.77,0.313,5347.8,0.271,1706.8
4.235,321.64,1.093,987.95,0.313,5347.8,0.271,1708.6
4.235,321.64,1.093,987.99,0.313,5348.6,0.271,1711.7
4.235,321.63,1.093,988.01,0.313,5353.8,0.271,1713.2
4.235,321.64,1.093,987.89,0.313,5348.3,0.271,1713.3
4.235,321.64,1.093,987.91,0.313,5348.5,0.271,1712.3
4.235,321.64,1.093,987.91,0.313,5347.6,0.271,1711.1
4.235,321.63,1.093,988.15,0.313,5348.4,0.271,1712.7
4.235,321.63,1.093,987.35,0.313,5348.9,0.271,1714.5
4.235,321.64,1.093,987.35,0.313,5349,0.271,1710.1
4.235,321.63,1.093,987.35,0.313,5349.1,0.271,1706.8
4.235,321.63,1.093,987.36,0.313,5352.5,0.271,1707.6
4.235,321.63,1.093,987.35,0.313,5352.4,0.271,1707.2
4.235,321.64,1.093,987.36,0.313,5350.1,0.271,1707
4.235,321.63,1.093,987.35,0.313,5330.1,0.271,1706.2
4.235,321.63,1.093,987.35,0.313,5329.9,0.271,1708.8
4.235,321.64,1.093,987.34,0.313,5330.1,0.271,1709.5
4.235,321.63,1.093,987.36,0.313,5330,0.271,1662.8
4.235,321.63,1.093,987.34,0.313,5350,0.272,1683.2
4.235,321.63,1.093,987.35,0.313,5349.4,0.272,1691.8
4.235,321.63,1.093,987.36,0.313,5349.4,0.272,1692.5
4.235,321.63,1.093,988.15,0.313,5346.8,0.272,1702.3
4.235,321.63,1.093,988.16,0.313,5346.5,0.272,1712.8
4.235,321.63,1.093,988.15,0.313,5346.4,0.272,1712.5
4.235,321.63,1.093,988.15,0.313,5346.8,0.272,1712.4
4.235,321.63,1.093,988.15,0.313,5347.4,0.272,1712.9
4.235,321.63,1.093,987.37,0.313,5346.6,0.272,1712.4
4.235,321.63,1.093,987.37,0.313,5346.5,0.272,1712.5
4.235,321.63,1.093,987.35,0.313,5350.5,0.272,1711.3
4.235,321.64,1.093,987.35,0.313,5352.1,0.272,1712.8
4.235,321.63,1.093,988.16,0.313,5352.8,0.272,1713.7
4.235,321.63,1.093,987.66,0.313,5350.8,0.272,1714.1
4.235,321.63,1.093,987.37,0.313,5345.8,0.272,1714.3
4.235,321.63,1.093,987.38,0.313,5346.4,0.272,1714.5
4.235,321.63,1.093,987.37,0.313,5351.4,0.272,1711.6
4.235,321.62,1.093,987.38,0.313,5336.9,0.272,1708.3
4.235,321.63,1.093,987.42,0.313,5338.1,0.272,1706.8
4.235,321.63,1.093,987.42,0.313,5337.7,0.272,1710.7
4.235,321.62,1.093,987.42,0.313,5336.8,0.272,1710.9
4.235,321.63,1.093,987.78,0.313,5343.9,0.272,1710.7
4.235,321.63,1.093,987.76,0.313,5343,0.272,1711.9
4.235,321.62,1.093,987.76,0.313,5337.5,0.272,1710.4
4.235,321.63,1.093,987.37,0.313,5337,0.272,1712.6
4.235,321.62,1.093,987.81,0.313,5337,0.272,1713
4.235,321.62,1.093,987.43,0.313,5336.3,0.272,1711.3
4.235,321.62,1.093,987.43,0.313,5336.1,0.272,1713
4.235,321.63,1.093,987.41,0.313,5337.5,0.272,1712.6
4.235,321.62,1.093,987.38,0.313,5336.1,0.272,1714.8
4.235,321.62,1.093,987.4,0.313,5336.2,0.272,1712.9
4.235,321.63,1.093,987.41,0.313,5346.1,0.272,1711.3
4.235,321.62,1.093,987.41,0.313,5345.7,0.272,1711.2
4.235,321.63,1.093,987.41,0.313,5344.8,0.272,1712.3
4.235,321.63,1.093,987.42,0.313,5347.6,0.272,1712.2
4.235,321.63,1.093,987.43,0.313,5347.5,0.272,1710.8
4.235,321.63,1.093,987.43,0.313,5347.7,0.272,1712.8
4.235,321.63,1.093,987.39,0.313,5347.9,0.272,1714.1
4.235,321.62,1.093,987.38,0.313,5341.8,0.272,1713.1
4.235,321.62,1.093,987.36,0.313,5341.2,0.272,1715.5
4.235,321.62,1.093,987.72,0.313,5344.5,0.272,1716
4.235,321.62,1.093,987.49,0.313,5342.6,0.272,1715.6
4.235,321.63,1.093,987.49,0.313,5347.1,0.272,1715.3
4.235,321.62,1.093,987.48,0.313,5346.9,0.272,1707.9
4.235,321.63,1.093,987.49,0.313,5346.2,0.272,1705.6
4.235,321.62,1.093,987.55,0.313,5339.3,0.272,1705
4.235,321.63,1.093,987.53,0.313,5332,0.272,1704.1
4.235,321.62,1.093,987.51,0.313,5331.2,0.272,1706.9
4.235,321.62,1.093,987.44,0.313,5330.7,0.272,1705.3
4.235,321.62,1.093,987.71,0.313,5338.7,0.272,1706.6
4.235,321.62,1.093,987.73,0.313,5337.6,0.272,1708.4
4.235,321.62,1.093,987.45,0.313,5339.6,0.272,1707.3
4.235,321.62,1.093,987.46,0.313,5339.1,0.272,1707.5
4.235,321.62,1.093,987.45,0.313,5340,0.272,1706.1
4.235,321.62,1.093,987.45,0.313,5343.3,0.272,1705.9
4.235,321.62,1.093,987.56,0.313,5343.7,0.272,1705.7
4.235,321.62,1.093,987.67,0.313,5333.3,0.272,1707.1
4.235,321.62,1.093,987.62,0.313,5332.3,0.272,1704.4
4.235,321.62,1.093,987.61,0.313,5335,0.272,1707.3
4.235,321.62,1.093,987.67,0.313,5334.1,0.272,1706
4.235,321.62,1.093,987.72,0.313,5347.1,0.272,1710.2
4.235,321.62,1.093,987.71,0.313,5338.5,0.272,1712.8
4.235,321.62,1.093,987.68,0.313,5338.2,0.272,1712.8
4.235,321.62,1.093,987.57,0.313,5347.3,0.272,1711.3
4.235,321.62,1.093,987.57,0.313,5339.6,0.272,1709.9
4.235,321.62,1.093,987.58,0.313,5338.7,0.272,1709.7
4.235,321.62,1.093,988.01,0.313,5347,0.272,1712.1
4.235,321.62,1.094,987.2,0.313,5337.2,0.272,1711.4
4.235,321.62,1.094,987.21,0.313,5336.6,0.272,1710.9
4.235,321.62,1.094,987.2,0.313,5336,0.272,1711.1
4.235,321.62,1.094,987.24,0.313,5338.9,0.272,1711.9
4.235,321.62,1.094,987.22,0.313,5338.2,0.272,1713.7
4.235,321.62,1.094,987.23,0.313,5339,0.272,1711.7
4.235,321.62,1.094,986.65,0.313,5339.1,0.272,1711.4
4.235,321.63,1.094,987.17,0.313,5334.8,0.272,1713.6
4.235,321.62,1.094,987.17,0.313,5334.8,0.272,1710.3
4.235,321.62,1.094,986.64,0.313,5335.1,0.272,1710
4.235,321.62,1.094,986.67,0.313,5334.8,0.272,1709.7
4.235,321.62,1.094,986.68,0.313,5335.1,0.272,1708.1
4.235,321.62,1.094,986.56,0.313,5335.8,0.272,1707.4
4.235,321.62,1.094,986.54,0.313,5335,0.272,1706
4.235,321.62,1.094,986.57,0.313,5333.2,0.272,1708
4.235,321.62,1.094,986.57,0.313,5333.4,0.272,1707.2
4.235,321.62,1.094,986.58,0.313,5333.6,0.272,1706.7
4.235,321.62,1.094,986.48,0.313,5333.2,0.272,1707
4.235,321.62,1.094,987.27,0.313,5335.2,0.272,1712.4
4.235,321.62,1.094,986.5,0.313,5335.4,0.272,1713.8
4.235,321.62,1.094,986.53,0.313,5333.2,0.272,1712.3
4.235,321.62,1.094,986.51,0.313,5333.9,0.272,1710.2
4.235,321.62,1.094,987.25,0.313,5331.2,0.272,1709.1
4.235,321.62,1.094,987.27,0.313,5334.1,0.272,1710
4.235,321.62,1.094,987.25,0.313,5334.2,0.272,1709.6
4.235,321.62,1.094,987.25,0.313,5334.5,0.272,1712
4.235,321.62,1.094,987.24,0.313,5334.1,0.272,1712.4
4.235,321.62,1.094,986.61,0.313,5334.6,0.272,1712.7
4.235,321.62,1.094,986.58,0.313,5335.2,0.272,1712.6
4.235,321.62,1.094,986.62,0.313,5335.1,0.272,1713
4.235,321.62,1.094,987.27,0.313,5335.5,0.272,1710.9
4.235,321.62,1.094,986.63,0.313,5334.8,0.272,1712.5
4.235,321.62,1.094,986.7,0.313,5334.1,0.272,1710.2
4.235,321.62,1.094,987.03,0.313,5334.8,0.272,1710.9
4.235,321.62,1.094,987.02,0.313,5335.3,0.272,1710.7
4.235,321.63,1.094,987.01,0.313,5333.3,0.272,1711.2
4.235,321.63,1.094,987.06,0.313,5333.4,0.272,1713.2
4.235,321.62,1.094,987.05,0.313,5335.7,0.272,1711.5
4.235,321.62,1.094,987.05,0.313,5340.3,0.272,1711.4
4.235,321.62,1.094,986.98,0.313,5334.1,0.272,1713.9
4.235,321.62,1.094,986.97,0.313,5333.5,0.272,1713.6
4.235,321.62,1.094,986.97,0.313,5333.2,0.272,1713.2
4.235,321.62,1.094,987,0.313,5334,0.272,1711.9
4.235,321.62,1.094,987,0.313,5340.6,0.272,1709.5
4.235,321.62,1.094,986.99,0.313,5347.7,0.272,1712.1
4.235,321.62,1.094,987.06,0.313,5347.7,0.272,1709.9
4.235,321.62,1.094,987.16,0.313,5341.2,0.272,1710.2
4.235,321.62,1.094,987.13,0.313,5340.4,0.272,1710.1
4.235,321.62,1.094,987.14,0.313,5340.2,0.272,1711
4.235,321.62,1.094,987.14,0.313,5341.2,0.272,1713.8
4.235,321.62,1.094,987.17,0.313,5332.8,0.272,1713.3
4.235,321.62,1.094,987.16,0.313,5332.5,0.272,1712.6
4.235,321.62,1.094,987.09,0.313,5333.1,0.272,1711.1
